106333612,Banshee,5.11c
107132457,Walk the Line,5.9
106065237,Tug-O-War,5.11b
106065250,Treetop Terror,5.10d
106586504,Air Ride Equipped,5.11a
106978712,Abiyoyo,5.12b
106059211,No Bones About It,5.10b
106059221,Melancholy Mechanics,5.10d
106065691,Tradisfaction,5.10a
106059217,Scrumbulglazer,5.10c
107624314,Kentucky Waterfall,5.11a
106575806,Cheetah,5.12c
107132444,Indecision,5.8
106065125,ED,5.7
106059358,Augenblick,5.10c
106059353,Ascentuality,5.11a
106065258,Areterection,5.11d
107855115,Where's My Chisel,5.9
108144702,Universal Gravitation,5.10d
106915637,Sunbeam,5.10d
108360900,Revenge of the Sith,5.10
108885373,Stems and Seeds,5.12a
108061921,Prey,5.11b
106928325,Predator,5.11b
107506355,Out of the Dark,5.10c
107885107,Radical Evolution,5.11a
108061908,Morning Sun,5.11b
106915629,Moonshine,5.10a
107855134,Backstabber,5.9
106385146,South Side of the Sky,5.11a
106385159,South Central,5.11a
105891711,Zambezi Plunge,5.8
107203560,Oddballs,5.8+
107203553,Firestarter,5.11a
107203545,Driller Instinct,5.11d
106292346,Welcome to ol' Kentuck,5.13a
105885373,Sundance,5.10
105886882,Sunburn,5.9-
105885201,Straight Edge,5.12a
107203377,Steel Reserve,5.10c
107203385,King Pin,5.10a
106447766,Imminent Demise,5.10b
107618215,The Seam,5.11c
106937622,Sacriledge,5.10d
107156644,Reload,5.12c
107156609,Picador,5.11b
107374324,Flesh Wound,5.12b
106837597,Perfectly Normal Beast,
106730242,Minas Ithil,5.2
106840270,The Jerk,
107203314,Abby Gabby Goo,5.8
106837589,Positive Energy,
106730216,Forever Yellow Skies,
106730222,Dark Lord,
108434200,Woman Trouble,5.7
105880857,When Gravity Fails,5.9-
105880865,Surfin' With Grizz,5.6
105880881,Rocket Man,5.8+
106385186,Rock Rash,5.9+
105880888,Punch Myself,5.6
106382718,Muscle Shoals,5.8+
105880847,Mama Told Me Not To Come,5.7
106447831,Grand Illusion,5.7
106447823,Bloody Fingers,5.8
107124331,Sam,5.10b
